,summonerId,summonerName,leaguePoints,rank,region,championId,mainChampion,championType
0,eUAem_YIulMFpQ4OE8YGfmFi5hMrLOu5ZausZgzvXHFRXu8,Nick link,1873,I,BR1,24,Jax,Fighter
1,9AJ5yvWsinzJtQzDgTUCEbuxOUsRlwKmSGOIipaVJaQ6xXOXjDuQk0jwBw,hidanvs1,1812,I,BR1,126,Jayce,Fighter
2,KuUrlLtNgu0rHFekube8sOVtowEKoK4bKGfnsif0WKWEGw,Morttheusz,1786,I,BR1,81,Ezreal,Marksman
3,ckewCLrxG1msVOxaGN0mXykk-v66iOiq5U33GkTxzM5kHw,QUINDINHO,1719,I,BR1,55,Katarina,Assassin
4,UoG1L5AHUuiDc9dBCFKIH4nCVnvjRVED63pYLAkrk4ze,SSG Corëjj,1663,I,BR1,888,Renata,Support
5,CY86W-tduup3vjX3_ztn8qsCA_aKka3YtYUWttZ3LvxnUaU,KBM SON,1611,I,BR1,64,LeeSin,Fighter
6,XPLZtpnRs6FZvll4tKnv6jGC-m60kmKOiAmy6_b8Vq6i_A,VRX Disamis,1609,I,BR1,64,LeeSin,Fighter
7,-IK4u3LsE0742z1c8rs9Tg6-fsqAFP6eiJpEgfUrA-s7KnIwl5wyrmP55w,NO LOVE GO GYM,1565,I,BR1,107,Rengar,Assassin
8,5OIDBkDiOQ3Mc18qK_fp24z0xjyt-pw_AArKYasKdFl5II0myV5oRNk_xA,dw98q0znyh9c7wh,1458,I,BR1,107,Rengar,Assassin
9,N_UqI4OtIlCZdxLNWzuD39C7WBgnwJ6YoylOhIKKg93Jvg,PB Lord Semi,1454,I,BR1,33,Rammus,Tank
10,7H9TqSRWFK97gIvGR0L4OLozhs6Ht7L3NRd0X4wDQslJpg,Twitch Hyogatm,1452,I,BR1,121,Khazix,Assassin
11,42IWhCd4thQBEt8v9MjR6YFfbAxiQRxebllDOrYizqQikhOhaWNi_M4xvw,MID BOCA,1429,I,BR1,517,Sylas,Mage
12,4aq-ZD12u70nmogkkkGXhm8ZrKJeofpdqjgTDHIbKDPdthw,evr0t,1395,I,BR1,7,Leblanc,Assassin
13,KfPiENx_crWfrbzKPyIMRASpuo3rBHts2-TVLVKAy_DFWg,SHINI 1407,1393,I,BR1,64,LeeSin,Fighter
14,Mt2fn6vAQkF5JhNWy04aQ3dRBzf0Km_qKaRMcucSRJ-cBg,ShaQuinn1,1373,I,BR1,133,Quinn,Marksman
15,oUpaeC7_lXXZxoEdPRrHAV-WFaW2KEY-O5HCeAiH4LacX7c,DuplaNazareno,1346,I,BR1,64,LeeSin,Fighter
16,65P3-7tgsJpgKVOM7G7SNpXcYqDC8KeW-moTXzPueIoTtqy606Gx7xT51Q,182blink,1332,I,BR1,777,Yone,Assassin
17,x9nsdyCi4x85GKtuHfANzNUCr3mHZC_aaiZyeVAbpj-x,Shoiti,1323,I,BR1,64,LeeSin,Fighter
18,lhT_zxlh5Y8xmmdLZgWRhew24fupKDfmMGiii4adHgE7Ow,pov,1304,I,BR1,142,Zoe,Mage
19,bccrGWEbmdxTOq4xnO9Sk5C16mg--NkwVuVgl73Dbofm4XI,LOBO MAU LIBDGEL,1296,I,BR1,203,Kindred,Marksman
20,-MZYtUXBvtCKr3TdGBJct_Iw7ZCgl9PfumRGJ0-50xvoJXs,KING SKURT,1292,I,BR1,141,Kayn,Fighter
